"price","timestamp"
2983,"2023-04-12T08:00:00"
2982,"2023-04-12T09:00:00"
2980,"2023-04-12T10:00:00"
2981,"2023-04-12T11:00:00"
2977,"2023-04-12T12:00:00"
2979,"2023-04-12T13:00:00"
2979,"2023-04-12T14:00:00"
2982,"2023-04-12T15:00:00"
2984,"2023-04-12T16:00:00"
2984,"2023-04-12T17:00:00"
2981,"2023-04-12T18:00:00"
2979,"2023-04-12T19:00:00"
2983,"2023-04-12T20:00:00"
2985,"2023-04-12T21:00:00"
2981,"2023-04-12T22:00:00"
2982,"2023-04-12T23:00:00"
2984,"2023-04-13T00:00:00"
2982,"2023-04-13T01:00:00"
2981,"2023-04-13T02:00:00"
2981,"2023-04-13T03:00:00"
2983,"2023-04-13T04:00:00"
2982,"2023-04-13T05:00:00"
2983,"2023-04-13T06:00:00"
2981,"2023-04-13T07:00:00"
2980,"2023-04-13T08:00:00"
2979,"2023-04-13T09:00:00"
2981,"2023-04-13T10:00:00"
2980,"2023-04-13T11:00:00"
2980,"2023-04-13T12:00:00"
2980,"2023-04-13T13:00:00"
2981,"2023-04-13T14:00:00"
2982,"2023-04-13T15:00:00"
2981,"2023-04-13T16:00:00"
2982,"2023-04-13T17:00:00"
2985,"2023-04-13T18:00:00"
2985,"2023-04-13T19:00:00"
2988,"2023-04-13T20:00:00"
2991,"2023-04-13T21:00:00"
2995,"2023-04-13T22:00:00"
2994,"2023-04-13T23:00:00"
2997,"2023-04-14T00:00:00"
2997,"2023-04-14T01:00:00"
2990,"2023-04-14T02:00:00"
2987,"2023-04-14T03:00:00"
2989,"2023-04-14T04:00:00"
2987,"2023-04-14T05:00:00"
2983,"2023-04-14T06:00:00"
2983,"2023-04-14T07:00:00"
2985,"2023-04-14T08:00:00"
2983,"2023-04-14T09:00:00"
2983,"2023-04-14T10:00:00"
2983,"2023-04-14T11:00:00"
2983,"2023-04-14T12:00:00"
2983,"2023-04-14T13:00:00"
2985,"2023-04-14T14:00:00"
2986,"2023-04-14T15:00:00"
2988,"2023-04-14T16:00:00"
2989,"2023-04-14T17:00:00"
2992,"2023-04-14T18:00:00"
2992,"2023-04-14T19:00:00"
2993,"2023-04-14T20:00:00"
2995,"2023-04-14T21:00:00"
2996,"2023-04-14T22:00:00"
2995,"2023-04-14T23:00:00"
2992,"2023-04-15T00:00:00"
2998,"2023-04-15T01:00:00"
2993,"2023-04-15T02:00:00"
2992,"2023-04-15T03:00:00"
2993,"2023-04-15T04:00:00"
2992,"2023-04-15T05:00:00"
2993,"2023-04-15T06:00:00"
2990,"2023-04-15T07:00:00"
2989,"2023-04-15T08:00:00"
2991,"2023-04-15T09:00:00"
2992,"2023-04-15T10:00:00"
2994,"2023-04-15T11:00:00"
2993,"2023-04-15T12:00:00"
2995,"2023-04-15T13:00:00"
2994,"2023-04-15T14:00:00"
2996,"2023-04-15T15:00:00"
3006,"2023-04-15T16:00:00"
3001,"2023-04-15T17:00:00"
3001,"2023-04-15T18:00:00"
3004,"2023-04-15T19:00:00"
3007,"2023-04-15T20:00:00"
3023,"2023-04-15T21:00:00"
3025,"2023-04-15T22:00:00"
3036,"2023-04-15T23:00:00"
3038,"2023-04-16T00:00:00"
3032,"2023-04-16T01:00:00"
3010,"2023-04-16T02:00:00"
3002,"2023-04-16T03:00:00"
3003,"2023-04-16T04:00:00"
3002,"2023-04-16T05:00:00"
3000,"2023-04-16T06:00:00"
2999,"2023-04-16T07:00:00"
2999,"2023-04-16T08:00:00"
3018,"2023-04-16T09:00:00"
3021,"2023-04-16T10:00:00"
